age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,result
[35.25;53.5),Private,[13769.0;381503.0),Bachelors,[12.25;16.0],Married-civ-spouse,Adm-clerical,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Never-married,Sales,Own-child,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Local-gov,[13769.0;381503.0),Some-college,[8.5;12.25),Married-civ-spouse,Protective-serv,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,>50K
[35.25;53.5),Private,[13769.0;381503.0),12th,[4.75;8.5),Married-civ-spouse,Adm-clerical,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[50.0;74.5),United-States,<=50K
[35.25;53.5),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Divorced,Exec-managerial,Unmarried,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),12th,[4.75;8.5),Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),Mexico,<=50K
[53.5;71.75),Private,[13769.0;381503.0),7th-8th,[1.0;4.75),Widowed,Exec-managerial,Not-in-family,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,>50K
[17.0;35.25),Self-emp-not-inc,[13769.0;381503.0),9th,[4.75;8.5),Married-civ-spouse,Craft-repair,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Married-civ-spouse,Exec-managerial,Wife,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Self-emp-not-inc,[13769.0;381503.0),HS-grad,[8.5;12.25),Divorced,Craft-repair,Not-in-family,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Married-civ-spouse,Sales,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[53.5;71.75),Federal-gov,[13769.0;381503.0),HS-grad,[8.5;12.25),Widowed,Sales,Unmarried,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),Germany,<=50K
[17.0;35.25),Private,[381503.0;749237.0),Some-college,[8.5;12.25),Never-married,Sales,Own-child,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[381503.0;749237.0),Some-college,[8.5;12.25),Never-married,Sales,Not-in-family,Black,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Self-emp-inc,[13769.0;381503.0),HS-grad,[8.5;12.25),Married-civ-spouse,Exec-managerial,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[74.5;99.0],United-States,>50K
[35.25;53.5),Private,[13769.0;381503.0),10th,[4.75;8.5),Divorced,Craft-repair,Not-in-family,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),State-gov,[13769.0;381503.0),HS-grad,[8.5;12.25),Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Local-gov,[13769.0;381503.0),Bachelors,[12.25;16.0],Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),Philippines,>50K
[35.25;53.5),Local-gov,[13769.0;381503.0),7th-8th,[1.0;4.75),Married-spouse-absent,Other-service,Not-in-family,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),Puerto-Rico,<=50K
[35.25;53.5),Local-gov,[13769.0;381503.0),Prof-school,[12.25;16.0],Married-civ-spouse,Exec-managerial,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[50.0;74.5),United-States,>50K
[17.0;35.25),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Married-civ-spouse,Machine-op-inspct,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[53.5;71.75),State-gov,[13769.0;381503.0),Some-college,[8.5;12.25),Married-civ-spouse,Adm-clerical,Husband,White,Male,[0.0;24999.75),[1089.0;2178.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Married-civ-spouse,Handlers-cleaners,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Separated,Other-service,Not-in-family,White,Female,[0.0;24999.75),[0.0;1089.0),[1.0;25.5),Peru,<=50K
[35.25;53.5),Private,[13769.0;381503.0),Bachelors,[12.25;16.0],Never-married,Prof-specialty,Not-in-family,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),11th,[4.75;8.5),Never-married,Transport-moving,Own-child,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Never-married,Exec-managerial,Not-in-family,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,>50K
[17.0;35.25),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Never-married,Adm-clerical,Own-child,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),State-gov,[13769.0;381503.0),HS-grad,[8.5;12.25),Married-civ-spouse,Adm-clerical,Own-child,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Married-civ-spouse,Craft-repair,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,>50K
[35.25;53.5),Local-gov,[381503.0;749237.0),Bachelors,[12.25;16.0],Divorced,Prof-specialty,Unmarried,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Married-civ-spouse,Transport-moving,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[50.0;74.5),United-States,>50K
[35.25;53.5),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),Laos,<=50K
[17.0;35.25),Private,[13769.0;381503.0),Assoc-acdm,[8.5;12.25),Married-civ-spouse,Craft-repair,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Divorced,Sales,Unmarried,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Self-emp-not-inc,[13769.0;381503.0),Assoc-acdm,[8.5;12.25),Married-civ-spouse,Prof-specialty,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[53.5;71.75),Private,[13769.0;381503.0),10th,[4.75;8.5),Married-civ-spouse,Transport-moving,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Local-gov,[13769.0;381503.0),12th,[4.75;8.5),Married-civ-spouse,Other-service,Other-relative,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),Mexico,<=50K
[35.25;53.5),Private,[13769.0;381503.0),Bachelors,[12.25;16.0],Never-married,Exec-managerial,Not-in-family,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[53.5;71.75),Self-emp-not-inc,[13769.0;381503.0),HS-grad,[8.5;12.25),Married-civ-spouse,Farming-fishing,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Local-gov,[13769.0;381503.0),Masters,[12.25;16.0],Married-civ-spouse,Protective-serv,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[50.0;74.5),United-States,>50K
[17.0;35.25),Private,[13769.0;381503.0),Bachelors,[12.25;16.0],Married-civ-spouse,Exec-managerial,Wife,White,Female,[0.0;24999.75),[0.0;1089.0),[50.0;74.5),United-States,>50K
[17.0;35.25),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Never-married,Machine-op-inspct,Not-in-family,White,Male,[0.0;24999.75),[0.0;1089.0),[50.0;74.5),United-States,<=50K
[53.5;71.75),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Married-civ-spouse,Machine-op-inspct,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[53.5;71.75),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Married-civ-spouse,Craft-repair,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),State-gov,[13769.0;381503.0),Some-college,[8.5;12.25),Never-married,Adm-clerical,Not-in-family,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Married-civ-spouse,Prof-specialty,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,>50K
[17.0;35.25),Private,[13769.0;381503.0),Assoc-voc,[8.5;12.25),Never-married,Prof-specialty,Own-child,Other,Female,[0.0;24999.75),[0.0;1089.0),[50.0;74.5),Jamaica,<=50K
[35.25;53.5),Self-emp-not-inc,[13769.0;381503.0),HS-grad,[8.5;12.25),Married-civ-spouse,Craft-repair,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[50.0;74.5),United-States,<=50K
[35.25;53.5),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Married-civ-spouse,Exec-managerial,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[53.5;71.75),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Divorced,Other-service,Not-in-family,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),Prof-school,[12.25;16.0],Never-married,Prof-specialty,Unmarried,White,Male,[24999.75;49999.5),[0.0;1089.0),[25.5;50.0),Germany,>50K
[53.5;71.75),Private,[13769.0;381503.0),Assoc-voc,[8.5;12.25),Married-civ-spouse,Transport-moving,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[50.0;74.5),United-States,>50K
[53.5;71.75),Private,[13769.0;381503.0),12th,[4.75;8.5),Widowed,Machine-op-inspct,Unmarried,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),Italy,<=50K
[17.0;35.25),Private,[13769.0;381503.0),11th,[4.75;8.5),Never-married,Transport-moving,Not-in-family,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Never-married,Craft-repair,Own-child,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Self-emp-not-inc,[381503.0;749237.0),HS-grad,[8.5;12.25),Married-civ-spouse,Exec-managerial,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Private,[13769.0;381503.0),9th,[4.75;8.5),Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),India,<=50K
[17.0;35.25),Private,[381503.0;749237.0),Some-college,[8.5;12.25),Married-civ-spouse,Farming-fishing,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Local-gov,[13769.0;381503.0),10th,[4.75;8.5),Married-civ-spouse,Craft-repair,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Federal-gov,[13769.0;381503.0),Some-college,[8.5;12.25),Divorced,Handlers-cleaners,Unmarried,Black,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Private,[13769.0;381503.0),Bachelors,[12.25;16.0],Never-married,Adm-clerical,Not-in-family,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),State-gov,[13769.0;381503.0),HS-grad,[8.5;12.25),Divorced,Other-service,Not-in-family,White,Female,[0.0;24999.75),[0.0;1089.0),[1.0;25.5),United-States,<=50K
[53.5;71.75),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Married-civ-spouse,Sales,Wife,White,Female,[0.0;24999.75),[0.0;1089.0),[1.0;25.5),United-States,<=50K
[71.75;90.0],Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Widowed,Other-service,Not-in-family,Black,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Self-emp-inc,[13769.0;381503.0),Bachelors,[12.25;16.0],Married-civ-spouse,Adm-clerical,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),Bachelors,[12.25;16.0],Never-married,Prof-specialty,Not-in-family,White,Female,[0.0;24999.75),[0.0;1089.0),[1.0;25.5),United-States,<=50K
[35.25;53.5),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Married-civ-spouse,Exec-managerial,Wife,White,Female,[0.0;24999.75),[0.0;1089.0),[1.0;25.5),United-States,>50K
[35.25;53.5),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Married-civ-spouse,Sales,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),Bachelors,[12.25;16.0],Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),India,>50K
[17.0;35.25),Private,[13769.0;381503.0),12th,[4.75;8.5),Never-married,Adm-clerical,Own-child,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),Mexico,<=50K
[35.25;53.5),Local-gov,[13769.0;381503.0),Assoc-voc,[8.5;12.25),Married-civ-spouse,Protective-serv,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,>50K
[35.25;53.5),Local-gov,[13769.0;381503.0),Masters,[12.25;16.0],Married-civ-spouse,Prof-specialty,Wife,White,Female,[0.0;24999.75),[1089.0;2178.0),[25.5;50.0),United-States,>50K
[35.25;53.5),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Divorced,Exec-managerial,Not-in-family,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),Assoc-voc,[8.5;12.25),Never-married,Sales,Own-child,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),Bachelors,[12.25;16.0],Never-married,Other-service,Own-child,White,Female,[0.0;24999.75),[0.0;1089.0),[1.0;25.5),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Never-married,Tech-support,Not-in-family,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),HS-grad,[8.5;12.25),Never-married,Exec-managerial,Not-in-family,White,Male,[0.0;24999.75),[1089.0;2178.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Self-emp-inc,[13769.0;381503.0),Some-college,[8.5;12.25),Married-civ-spouse,Exec-managerial,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[50.0;74.5),United-States,>50K
[17.0;35.25),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Never-married,Sales,Own-child,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),Bachelors,[12.25;16.0],Never-married,Exec-managerial,Unmarried,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[381503.0;749237.0),HS-grad,[8.5;12.25),Never-married,Craft-repair,Own-child,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),Bachelors,[12.25;16.0],Never-married,Sales,Own-child,White,Male,[0.0;24999.75),[0.0;1089.0),[50.0;74.5),United-States,<=50K
[35.25;53.5),Private,[13769.0;381503.0),11th,[4.75;8.5),Married-civ-spouse,Exec-managerial,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[50.0;74.5),United-States,>50K
[35.25;53.5),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Never-married,Craft-repair,Not-in-family,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[53.5;71.75),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Divorced,Adm-clerical,Not-in-family,White,Female,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Married-civ-spouse,Machine-op-inspct,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,>50K
[35.25;53.5),Private,[381503.0;749237.0),Some-college,[8.5;12.25),Married-civ-spouse,Transport-moving,Husband,Black,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,>50K
[17.0;35.25),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Married-civ-spouse,Other-service,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[50.0;74.5),Mexico,<=50K
[35.25;53.5),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Married-civ-spouse,Transport-moving,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[35.25;53.5),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Married-civ-spouse,Sales,Husband,White,Male,[0.0;24999.75),[0.0;1089.0),[25.5;50.0),United-States,<=50K
[17.0;35.25),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Divorced,Exec-managerial,Not-in-family,White,Female,[0.0;24999.75),[0.0;1089.0),[50.0;74.5),United-States,<=50K
[35.25;53.5),Private,[13769.0;381503.0),Some-college,[8.5;12.25),Divorced,Adm-clerical,Not-in-family,White,Female,[0.0;24999.75),[0.0;1089.0),[50.0;74.5),United-States,<=50K
